brand,model,brand_encoded,model_encoded,year,km_driven,owner,mileage,engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,selling_price
Jeep,Compass,14,38,2019,5000,1,16.0,1368,160.77,5.0,0,0,0,1,0,1,0,1,0,2100000
Honda,City,10,35,2018,28900,1,17.8,1497,117.3,5.0,0,0,0,1,1,0,0,0,1,925000
Honda,City,10,35,2013,86300,1,16.8,1497,116.3,5.0,0,0,0,1,1,0,0,0,1,425000
Maruti,Swift,20,152,2018,23300,1,18.5,1197,83.14,5.0,0,0,0,1,1,0,0,1,0,675000
Maruti,Vitara,20,169,2018,32600,1,24.3,1248,88.5,5.0,0,1,0,0,1,0,0,0,1,819999
Maruti,Alto,20,11,2018,10300,1,23.95,998,67.05,5.0,0,0,0,1,1,0,0,0,1,390000
Toyota,Fortuner,28,63,2014,77000,1,12.55,2982,168.5,7.0,0,1,0,0,1,0,0,0,1,1500000
Toyota,Innova,28,84,2013,99000,1,12.99,2494,100.0,7.0,0,1,0,0,1,0,0,0,1,700000
Mercedes-Benz,B,21,19,2014,27800,2,14.8,2143,120.7,5.0,0,1,0,0,1,0,0,1,0,1450000
Honda,Amaze,10,12,2015,49800,1,24.7,1498,98.63,5.0,0,1,0,0,1,0,0,0,1,425000
Mitsubishi,Pajero,22,115,2013,151000,1,13.5,2477,175.56,7.0,0,1,0,0,1,0,0,0,1,1090000
Honda,City,10,35,2015,54700,1,26.0,1498,98.6,5.0,0,1,0,0,1,0,0,0,1,600000
Maruti,Ciaz,20,34,2018,64000,1,20.65,1462,103.25,5.0,0,0,0,1,1,0,0,0,1,850000
Honda,Jazz,10,85,2015,63000,1,27.3,1498,98.6,5.0,0,1,0,0,1,0,0,0,1,525000
Toyota,Innova,28,84,2016,127700,2,11.36,2755,171.5,7.0,0,1,0,0,1,0,0,1,0,1650000
Toyota,Innova,28,84,2016,99000,1,12.99,2494,100.6,7.0,0,1,0,0,1,0,0,0,1,950000
Audi,A6,2,8,2013,33900,2,17.68,1968,174.33,5.0,0,1,0,0,1,0,0,1,0,1750000
Toyota,Corolla,28,39,2018,25000,1,14.28,1798,138.03,5.0,0,0,0,1,1,0,0,1,0,1590000
Audi,A6,2,8,2013,50000,1,18.53,1968,187.74,5.0,0,1,0,0,1,0,0,1,0,1689999
Mercedes-Benz,New,21,108,2013,59000,1,14.84,2143,170.0,5.0,0,1,0,0,1,0,0,1,0,1425000
Tata,Manza,27,102,2011,120000,1,21.12,1248,88.8,5.0,0,1,0,0,0,1,0,0,1,265000
Hyundai,i10,11,195,2011,110000,3,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,0,1,190000
Hyundai,i20,11,196,2013,60000,1,21.27,1396,88.76,5.0,0,1,0,0,0,1,0,0,1,425000
Maruti,Swift,20,152,2015,147000,2,26.59,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,630000
Ford,Figo,9,61,2017,25000,3,18.16,1196,86.8,5.0,0,0,0,1,0,1,0,0,1,600000
Maruti,Baleno,20,22,2019,30000,1,21.4,1197,83.1,5.0,0,0,0,1,0,1,0,0,1,650000
Volkswagen,Ameo,29,13,2016,40000,1,22.0,1498,108.495,5.0,0,1,0,0,0,1,0,0,1,540000
Honda,City,10,35,2015,135000,1,25.1,1498,98.6,5.0,0,1,0,0,0,1,0,0,1,630000
Maruti,Wagon R,20,171,2018,30000,1,20.51,998,67.0,5.0,0,0,0,1,0,1,0,1,0,448000
Volkswagen,Ameo,29,13,2017,80000,1,21.66,1498,108.62,5.0,0,1,0,0,0,1,0,0,1,500000
Maruti,Vitara,20,169,2016,70000,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,745000
Maruti,Vitara,20,169,2019,9850,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,1,0,1025000
Hyundai,i10,11,195,2011,60000,2,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,0,1,235000
Maruti,Swift,20,152,2016,70000,1,25.2,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,630000
Toyota,Fortuner,28,63,2015,78000,2,12.55,2982,168.5,7.0,0,1,0,0,0,1,0,0,1,1700000
Maruti,Swift,20,152,2013,120000,2,22.9,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,450000
Maruti,Ertiga,20,56,2012,120000,2,16.02,1373,93.7,7.0,0,0,0,1,0,1,0,0,1,450000
Volkswagen,Vento,29,164,2013,170000,1,20.54,1598,103.6,5.0,0,1,0,0,0,1,0,0,1,450000
Toyota,Innova,28,84,2016,140000,1,12.99,2494,100.6,8.0,0,1,0,0,0,1,0,0,1,1200000
Ford,EcoSport,9,49,2015,90000,1,22.77,1498,98.59,5.0,0,1,0,0,0,1,0,0,1,610000
BMW,X1,3,174,2016,30000,2,15.71,1998,189.0,5.0,0,0,0,1,0,1,0,1,0,2500000
Maruti,Celerio,20,33,2017,10000,1,23.1,998,67.04,5.0,0,0,0,1,1,0,0,0,1,484999
Datsun,GO,6,69,2016,49000,1,19.02,1198,67.05,5.0,0,0,0,1,1,0,0,0,1,275000
Maruti,Alto,20,11,2016,32000,1,24.7,796,47.3,5.0,0,0,0,1,1,0,0,0,1,315000
Maruti,Alto,20,11,2016,38000,1,24.7,796,47.3,5.0,0,0,0,1,1,0,0,0,1,275000
Hyundai,i10,11,195,2012,28000,1,19.81,1086,68.05,5.0,0,0,0,1,1,0,0,0,1,290000
Maruti,Omni,20,112,2017,32000,1,14.0,796,35.0,5.0,0,0,0,1,1,0,0,0,1,280000
Maruti,Wagon R,20,171,2010,44000,1,26.2,998,58.2,5.0,0,0,1,0,1,0,0,0,1,225000
Volkswagen,Polo,29,118,2015,42000,1,16.47,1198,74.0,5.0,0,0,0,1,1,0,0,0,1,455000
Hyundai,i10,11,195,2015,45000,2,19.81,1086,68.05,5.0,0,0,0,1,1,0,0,0,1,351000
Volkswagen,Vento,29,164,2012,12000,2,15.04,1598,103.6,5.0,0,0,0,1,1,0,0,0,1,535000
Maruti,Zen,20,193,2009,55500,1,18.2,998,67.1,5.0,0,0,0,1,1,0,0,0,1,175000
Hyundai,i20,11,196,2013,61500,1,18.5,1197,82.85,5.0,0,0,0,1,1,0,0,0,1,525000
Maruti,Swift,20,152,2016,150000,1,26.59,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,600000
Hyundai,Xcent,11,188,2016,72000,1,19.1,1197,82.0,5.0,0,0,0,1,1,0,0,1,0,565000
Maruti,Alto,20,11,2008,68000,3,19.7,796,46.3,5.0,0,0,0,1,1,0,0,0,1,120000
Hyundai,i20,11,196,2017,110000,1,22.54,1396,88.73,5.0,0,1,0,0,0,1,0,0,1,725000
Maruti,Wagon R,20,171,2009,77000,2,21.79,998,67.05,5.0,0,0,0,1,1,0,0,0,1,185000
Tata,Manza,27,102,2010,100000,2,18.8,1248,90.0,5.0,0,1,0,0,0,1,0,0,1,200000
Maruti,Swift,20,152,2019,10000,1,21.21,1197,81.8,5.0,0,0,0,1,0,1,0,0,1,615000
Maruti,Eeco,20,51,2016,100000,3,15.37,1196,73.0,7.0,0,0,0,1,0,1,0,0,1,270000
Maruti,Baleno,20,22,2018,35000,1,21.4,1197,83.1,5.0,0,0,0,1,0,1,0,0,1,610000
Mahindra,Scorpio,19,142,2014,70000,2,11.79,2179,120.0,8.0,0,1,0,0,0,1,0,1,0,625000
Ford,Freestyle,9,64,2020,5000,2,19.0,1194,94.68,5.0,0,0,0,1,0,1,0,0,1,400000
Hyundai,Verna,11,168,2017,37800,1,17.0,1591,121.3,5.0,0,0,0,1,0,1,0,0,1,866000
Volkswagen,Passat,29,116,2010,114000,1,14.3,1798,160.0,5.0,0,0,0,1,0,1,0,0,1,700000
Tata,Indica,27,82,2010,48000,1,15.8,1172,65.0,5.0,0,0,0,1,0,1,0,0,1,300000
Mahindra,XUV500,19,187,2019,32000,1,15.1,2179,155.0,7.0,0,1,0,0,0,1,0,0,1,1700000
Tata,Indigo,27,83,2016,100000,1,19.09,1405,69.01,5.0,0,1,0,0,0,1,0,0,1,375000
Hyundai,Verna,11,168,2013,150000,2,22.32,1582,126.32,5.0,0,1,0,0,0,1,0,0,1,522000
Hyundai,i20,11,196,2013,69000,1,21.9,1396,88.76,5.0,0,1,0,0,0,1,0,0,1,451999
Toyota,Corolla,28,39,2009,100000,2,14.53,1798,138.1,5.0,0,0,0,1,0,1,0,0,1,300000
Maruti,Celerio,20,33,2020,13000,1,21.63,998,67.04,5.0,0,0,0,1,0,1,0,0,1,475000
Maruti,Vitara,20,169,2016,60000,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,780000
Maruti,Swift,20,152,2017,40000,1,20.85,1197,83.14,5.0,0,0,0,1,0,1,0,0,1,595000
Maruti,Wagon R,20,171,2017,35000,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,0,1,440000
Nissan,Terrano,23,156,2014,70000,3,20.45,1461,83.8,5.0,0,1,0,0,0,1,0,0,1,400000
Hyundai,Creta,11,40,2016,50000,1,19.67,1582,126.2,5.0,0,1,0,0,0,1,0,0,1,1140000
Ford,EcoSport,9,49,2017,76139,1,23.0,1498,98.96,5.0,0,1,0,0,0,1,0,0,1,850000
Maruti,Swift,20,152,2012,175000,4,19.3,1248,73.9,5.0,0,1,0,0,0,1,0,0,1,370000
Renault,KWID,25,88,2018,25000,1,23.01,999,67.0,5.0,0,0,0,1,0,1,0,0,1,350000
Maruti,Celerio,20,33,2015,40000,2,23.1,998,67.04,5.0,0,0,0,1,0,1,0,0,1,360000
Maruti,Alto,20,11,2008,65000,4,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,1,105000
Maruti,Ertiga,20,56,2013,90000,2,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,1,625000
Hyundai,Santro,11,140,2009,80000,2,17.92,1086,62.1,5.0,0,0,0,1,0,1,0,0,1,135000
Maruti,Ertiga,20,56,2015,110000,2,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,1,700000
Honda,Amaze,10,12,2019,1303,1,17.8,1198,86.7,5.0,0,0,0,1,1,0,0,0,1,690000
Audi,Q5,2,122,2018,31800,1,17.01,1968,188.0,5.0,0,1,0,0,1,0,0,1,0,3975000
Lexus,ES,17,48,2019,20000,1,22.37,2487,214.56,5.0,0,0,0,1,1,0,0,1,0,5150000
Jaguar,XF,13,184,2017,45000,1,19.33,1999,177.0,5.0,0,1,0,0,1,0,0,1,0,3200000
Jeep,Wrangler,14,173,2017,17000,1,9.5,3604,280.0,5.0,0,0,0,1,0,1,0,1,0,4100000
Land,Rover,16,130,2019,21000,1,12.83,1999,148.31,7.0,0,1,0,0,1,0,0,1,0,4500000
Mercedes-Benz,S-Class,21,131,2017,37000,1,13.5,2987,254.79,5.0,0,1,0,0,1,0,0,1,0,6000000
BMW,5,3,1,2018,29500,1,22.48,1995,187.74,5.0,0,1,0,0,1,0,0,1,0,3790000
BMW,X4,3,176,2019,7500,1,16.78,1995,190.0,5.0,0,1,0,0,1,0,0,1,0,5800000
Skoda,Superb,26,150,2018,50000,1,14.67,1798,177.46,5.0,0,0,0,1,1,0,0,1,0,1864999
Mercedes-Benz,E-Class,21,46,2016,35000,1,15.0,2143,204.0,5.0,0,1,0,0,1,0,0,1,0,2700000
MG,Hector,18,78,2019,19000,1,13.96,1451,141.0,5.0,0,0,0,1,1,0,0,1,0,1750000
Honda,City,10,35,2017,41000,1,18.0,1497,117.6,5.0,0,0,0,1,1,0,0,1,0,795000
Toyota,Corolla,28,39,2013,39000,1,14.28,1798,138.03,5.0,0,0,0,1,1,0,0,1,0,625000
Volvo,XC40,30,180,2018,22000,1,18.0,1969,190.0,5.0,0,1,0,0,1,0,0,1,0,3400000
Audi,Q7,2,123,2015,53000,1,12.07,2967,241.4,7.0,0,1,0,0,1,0,0,1,0,2650000
Maruti,Ciaz,20,34,2015,40000,1,26.21,1248,88.5,5.0,0,1,0,0,1,0,0,0,1,535000
Mercedes-Benz,S-Class,21,131,2017,47000,1,13.5,2987,282.0,5.0,0,1,0,0,1,0,0,1,0,5850000
BMW,5,3,1,2010,72200,2,10.8,2497,150.0,5.0,0,0,0,1,1,0,0,1,0,975000
Hyundai,Elantra,11,52,2016,49900,1,16.3,1797,147.5,5.0,0,0,0,1,1,0,0,0,1,805000
Jaguar,XE,13,183,2017,9000,1,13.6,1999,177.0,5.0,0,1,0,0,1,0,0,1,0,2625000
Tata,Nexon,27,109,2018,11000,1,17.0,1198,108.5,5.0,0,0,0,1,1,0,0,0,1,811000
Volkswagen,Vento,29,164,2011,49000,1,15.04,1598,103.6,5.0,0,0,0,1,0,1,0,0,1,375000
Hyundai,Elantra,11,52,2012,95000,1,16.3,1797,147.5,5.0,0,0,0,1,0,1,0,0,1,550000
Skoda,Rapid,26,126,2016,11000,1,14.3,1598,103.5,5.0,0,0,0,1,1,0,0,1,0,645000
Mercedes-Benz,CLA,21,27,2018,18000,1,15.04,1991,183.0,5.0,0,0,0,1,1,0,0,1,0,2550000
Maruti,Ertiga,20,56,2014,46100,1,16.02,1373,93.7,7.0,0,0,0,1,1,0,0,0,1,599000
Mercedes-Benz,New,21,108,2017,16000,1,14.74,1991,181.04,5.0,0,0,0,1,1,0,0,1,0,2700000
Honda,City,10,35,2017,18000,1,15.6,1497,116.3,5.0,0,0,0,1,1,0,0,1,0,875000
Toyota,Glanza,28,72,2019,9654,1,19.56,1197,81.8,5.0,0,0,0,1,1,0,0,1,0,894999
Maruti,Alto,20,11,2011,11000,1,23.95,998,67.05,5.0,0,0,0,1,1,0,0,0,1,175000
Maruti,Swift,20,152,2012,24300,1,21.21,1197,81.8,5.0,0,0,0,1,1,0,0,0,1,340000
Toyota,Innova,28,84,2016,42163,2,11.36,2755,171.5,7.0,0,1,0,0,1,0,0,1,0,1525000
Tata,Nexon,27,109,2018,8000,1,21.5,1497,108.5,5.0,0,1,0,0,1,0,0,1,0,1025000
BMW,3,3,0,2016,30000,1,22.69,1995,190.0,5.0,0,1,0,0,1,0,0,1,0,2150000
Toyota,Camry,28,30,2016,41000,1,19.16,2494,157.7,5.0,0,0,0,1,1,0,0,1,0,1900000
BMW,5,3,1,2016,12000,1,18.12,1995,190.0,5.0,0,1,0,0,1,0,0,1,0,2900000
Toyota,Camry,28,30,2009,71000,1,12.1,2362,164.7,5.0,0,0,0,1,1,0,0,1,0,450000
Maruti,Ertiga,20,56,2016,20000,1,17.5,1373,91.1,7.0,0,0,0,1,0,1,0,0,1,850000
Volvo,XC90,30,182,2017,30000,1,42.0,1969,400.0,4.0,0,0,0,1,0,1,0,1,0,10000000
Volkswagen,Vento,29,164,2011,100000,2,20.54,1598,103.6,5.0,0,1,0,0,0,1,0,0,1,300000
Ford,Figo,9,61,2018,9500,1,18.16,1196,86.8,5.0,0,0,0,1,0,1,0,0,1,575000
Ford,Figo,9,61,2011,120000,1,20.0,1399,68.0,5.0,0,1,0,0,0,1,0,0,1,160000
Maruti,Swift,20,152,2015,36600,1,20.4,1197,81.8,5.0,0,0,0,1,0,1,0,0,1,515000
Maruti,Wagon R,20,171,2015,50000,2,20.51,998,67.0,5.0,0,0,0,1,0,1,0,1,0,390000
Hyundai,i20,11,196,2016,14000,2,18.6,1197,81.83,5.0,0,0,0,1,0,1,0,0,1,550000
Maruti,800,20,4,1999,40000,2,16.1,796,37.0,4.0,0,0,0,1,0,1,0,0,1,40000
Maruti,Ritz,20,129,2010,120000,1,21.1,1248,73.9,5.0,0,1,0,0,0,1,0,0,1,220000
Hyundai,Grand,11,73,2015,70000,1,18.9,1197,82.0,5.0,0,0,0,1,0,1,0,0,1,425000
Volkswagen,Ameo,29,13,2019,13000,1,19.44,999,75.0,5.0,0,0,0,1,0,1,0,0,1,480000
Hyundai,Grand,11,73,2014,60000,2,18.9,1197,82.0,5.0,0,0,0,1,0,1,0,0,1,400000
Maruti,Swift,20,152,2014,35000,1,19.1,1197,85.8,5.0,0,0,0,1,0,1,0,0,1,487000
Hyundai,Xcent,11,188,2016,44000,2,19.1,1197,82.0,5.0,0,0,0,1,0,1,0,0,1,386000
Honda,City,10,35,2005,120000,2,13.0,1493,100.0,5.0,0,0,0,1,0,1,0,0,1,100000
Toyota,Corolla,28,39,2010,60000,1,21.43,1364,87.2,5.0,0,1,0,0,0,1,0,0,1,300000
Daewoo,Matiz,5,104,2000,60000,1,18.5,796,53.0,5.0,0,0,0,1,0,1,0,0,1,100000
Toyota,Fortuner,28,63,2014,30000,2,13.0,2982,168.5,7.0,0,1,0,0,0,1,0,0,1,1750000
Mahindra,KUV,19,87,2016,15000,2,18.15,1198,82.0,6.0,0,0,0,1,0,1,0,0,1,450000
Tata,Zest,27,194,2017,90000,1,22.95,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,490000
Honda,City,10,35,2009,47000,2,17.0,1497,118.0,5.0,0,0,0,1,0,1,0,0,1,345000
Maruti,Zen,20,193,2005,90000,1,17.3,993,60.0,5.0,0,0,0,1,0,1,0,0,1,85000
Maruti,Wagon R,20,171,2010,120600,2,18.9,998,67.1,5.0,0,0,0,1,0,1,0,0,1,215000
Hyundai,Verna,11,168,2010,100000,3,16.2,1599,103.2,5.0,0,0,0,1,0,1,0,0,1,320000
Maruti,Swift,20,152,2016,60000,2,20.85,1197,83.14,5.0,0,0,0,1,0,1,0,0,1,459999
Hyundai,Getz,11,71,2005,86000,1,15.3,1341,83.0,5.0,0,0,0,1,0,1,0,0,1,65000
Hyundai,Elite,11,53,2020,5000,1,18.6,1197,81.86,5.0,0,0,0,1,0,1,0,0,1,720000
Maruti,Ciaz,20,34,2017,37000,1,28.09,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,800000
Tata,Tigor,27,159,2019,14000,1,20.3,1199,84.0,5.0,0,0,0,1,0,1,0,0,1,520000
Maruti,Ertiga,20,56,2015,70000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,1,580000
Honda,City,10,35,2015,50000,1,17.4,1497,117.3,5.0,0,0,0,1,0,1,0,0,1,600000
Honda,Brio,10,26,2014,60000,2,19.4,1198,86.8,5.0,0,0,0,1,0,1,0,0,1,290000
Maruti,Wagon R,20,171,2016,50000,1,26.6,998,58.16,5.0,1,0,0,0,0,1,0,0,1,360000
Maruti,Swift,20,152,2017,50000,1,20.85,1197,83.14,5.0,0,0,0,1,0,1,0,0,1,550000
Hyundai,i20,11,196,2013,70000,1,18.5,1197,82.85,5.0,0,0,0,1,0,1,0,0,1,375000
Maruti,Wagon R,20,171,2018,35000,1,20.51,998,67.0,5.0,0,0,0,1,0,1,0,1,0,420000
Maruti,Swift,20,152,2017,20000,1,21.21,1197,81.8,5.0,0,0,0,1,0,1,0,0,1,550000
Maruti,Alto,20,11,2018,20000,1,24.7,796,47.3,5.0,0,0,0,1,0,1,0,0,1,270000
Maruti,Swift,20,152,2018,7800,1,22.0,1197,81.8,5.0,0,0,0,1,0,1,0,1,0,700000
Maruti,Swift,20,152,2017,20000,1,20.4,1197,81.8,5.0,0,0,0,1,0,1,0,0,1,500000
Tata,Hexa,27,79,2019,15000,1,17.6,2179,147.94,7.0,0,1,0,0,0,1,0,0,1,1250000
Hyundai,i20,11,196,2013,31377,2,18.5,1197,82.85,5.0,0,0,0,1,0,1,0,0,1,320000
Maruti,Swift,20,152,2018,50000,1,28.4,1248,74.02,5.0,0,1,0,0,0,1,0,0,1,700000
Maruti,Wagon R,20,171,2015,60000,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,0,1,290000
Toyota,Corolla,28,39,2012,100000,1,14.53,1794,138.1,5.0,0,0,0,1,0,1,0,1,0,550000
Honda,Brio,10,26,2012,60000,1,19.4,1198,86.8,5.0,0,0,0,1,0,1,0,0,1,265000
Maruti,Baleno,20,22,2018,5000,1,21.4,1197,83.1,5.0,0,0,0,1,0,1,0,1,0,830000
Tata,Safari,27,137,2017,60000,1,14.1,2179,147.94,7.0,0,1,0,0,0,1,0,0,1,800000
Maruti,Alto,20,11,2011,25000,2,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,1,160000
Renault,KWID,25,88,2018,30000,1,25.17,799,53.3,5.0,0,0,0,1,0,1,0,0,1,335000
Datsun,GO,6,69,2017,80000,2,20.63,1198,67.0,5.0,0,0,0,1,0,1,0,0,1,329000
Maruti,Vitara,20,169,2017,75000,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,775000
Hyundai,Xcent,11,188,2020,32000,1,20.14,1197,81.86,5.0,0,0,0,1,0,1,0,0,1,524000
Maruti,Alto,20,11,2015,40000,1,22.74,796,47.3,5.0,0,0,0,1,0,1,0,0,1,245000
Hyundai,i20,11,196,2012,93000,2,17.0,1197,80.0,5.0,0,0,0,1,0,1,0,0,1,275000
Tata,Zest,27,194,2018,60000,1,17.57,1193,88.7,5.0,0,0,0,1,0,1,0,0,1,520000
Nissan,Sunny,23,149,2014,37000,1,16.95,1498,97.7,5.0,0,0,0,1,0,1,0,0,1,550000
Ford,EcoSport,9,49,2018,15000,1,17.0,1497,121.36,5.0,0,0,0,1,0,1,0,0,1,910000
Nissan,Micra,23,105,2015,80000,1,19.49,1198,67.04,5.0,0,0,0,1,0,1,0,0,1,300000
Maruti,Wagon R,20,171,2016,140000,1,20.51,998,67.04,5.0,0,0,0,1,0,1,0,0,1,350000
Mahindra,Ssangyong,19,147,2013,70000,1,12.83,2696,162.0,7.0,0,1,0,0,0,1,0,0,1,900000
Mahindra,Quanto,19,125,2013,120000,2,17.21,1493,100.0,7.0,0,1,0,0,0,1,0,0,1,300000
Maruti,Ritz,20,129,2010,110000,2,21.1,1248,73.9,5.0,0,1,0,0,0,1,0,0,1,250000
Hyundai,Creta,11,40,2017,37000,1,19.67,1582,126.2,5.0,0,1,0,0,0,1,0,0,1,1100000
Renault,KWID,25,88,2016,44000,1,25.17,799,53.3,5.0,0,0,0,1,0,1,0,0,1,270000
Maruti,Ertiga,20,56,2015,80000,1,20.77,1248,88.76,7.0,0,1,0,0,0,1,0,0,1,640000
Mahindra,XUV500,19,187,2015,125000,1,15.1,2179,140.0,7.0,0,1,0,0,0,1,0,0,1,650000
Maruti,Eeco,20,51,2017,13500,1,15.37,1196,73.0,5.0,0,0,0,1,0,1,0,0,1,409999
Hyundai,Santro,11,140,2011,75000,1,17.92,1086,62.1,5.0,0,0,0,1,0,1,0,0,1,165000
Hyundai,Accent,11,9,2007,120000,2,13.2,1495,94.0,5.0,0,0,0,1,0,1,0,0,1,80000
Mahindra,XUV500,19,187,2012,120000,1,15.1,2179,140.0,7.0,0,1,0,0,0,1,0,0,1,535000
Toyota,Innova,28,84,2013,70000,1,12.99,2494,100.57,7.0,0,1,0,0,0,1,0,0,1,700000
Maruti,Swift,20,152,2013,70000,1,23.4,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,550000
Honda,Amaze,10,12,2019,15000,1,19.0,1199,88.76,5.0,0,0,0,1,0,1,0,1,0,680000
Hyundai,i10,11,195,2009,53000,2,20.36,1197,78.9,5.0,0,0,0,1,0,1,0,0,1,200000
