year,km_driven,owner,mileage,selling_price
2016,42163,2,11.36,1525000
2018,8000,1,21.5,1025000
2016,30000,1,22.69,2150000
2016,41000,1,19.16,1900000
2016,12000,1,18.12,2900000
2009,71000,1,12.1,450000
2016,20000,1,17.5,850000
2017,30000,1,42,10000000
2011,100000,2,20.54,300000
2018,9500,1,18.16,575000
2011,120000,1,20,160000
2015,36600,1,20.4,515000
2015,50000,2,20.51,390000
2016,14000,2,18.6,550000
1999,40000,2,16.1,40000
2010,120000,1,21.1,220000
2015,70000,1,18.9,425000
2019,13000,1,19.44,480000
2014,60000,2,18.9,400000
2014,35000,1,19.1,487000
2016,44000,2,19.1,386000
2005,120000,2,13,100000
2010,60000,1,21.43,300000
2000,60000,1,18.5,100000
2014,30000,2,13,1750000
2016,15000,2,18.15,450000
2017,90000,1,22.95,490000
2009,47000,2,17,345000
2005,90000,1,17.3,85000
2010,120600,2,18.9,215000
2010,100000,3,16.2,320000
2016,60000,2,20.85,459999
2005,86000,1,15.3,65000
2020,5000,1,18.6,720000
2017,37000,1,28.09,800000
2019,14000,1,20.3,520000
2015,70000,1,20.77,580000
2015,50000,1,17.4,600000
2014,60000,2,19.4,290000
2016,50000,1,26.6,360000
2017,50000,1,20.85,550000
2013,70000,1,18.5,375000
2018,35000,1,20.51,420000
2017,20000,1,21.21,550000
2018,20000,1,24.7,270000
2018,7800,1,22,700000
2017,20000,1,20.4,500000
2019,15000,1,17.6,1250000
2013,31377,2,18.5,320000
2018,50000,1,28.4,700000
2015,60000,1,20.51,290000
2012,100000,1,14.53,550000
2012,60000,1,19.4,265000
2018,5000,1,21.4,830000
2017,60000,1,14.1,800000
2011,25000,2,19.7,160000
2018,30000,1,25.17,335000
2017,80000,2,20.63,329000
2017,75000,1,24.3,775000
2020,32000,1,20.14,524000
2015,40000,1,22.74,245000
2012,93000,2,17,275000
2018,60000,1,17.57,520000
2014,37000,1,16.95,550000
2018,15000,1,17,910000
2015,80000,1,19.49,300000
2016,140000,1,20.51,350000
2013,70000,1,12.83,900000
2013,120000,2,17.21,300000
2010,110000,2,21.1,250000
2017,37000,1,19.67,1100000
2016,44000,1,25.17,270000
2015,80000,1,20.77,640000
2015,125000,1,15.1,650000
2017,13500,1,15.37,409999
2011,75000,1,17.92,165000
2007,120000,2,13.2,80000
2012,120000,1,15.1,535000
2013,70000,1,12.99,700000
2013,70000,1,23.4,550000
2019,15000,1,19,680000
2009,53000,2,20.36,200000
2014,120000,2,23.4,500000
2016,70000,1,24.52,1000000
2008,120000,2,14.2,110000
2012,100000,2,18.5,320000
2015,100000,1,20.4,350000
2013,162500,1,19.4,170000
2017,39000,1,22.54,800000
2017,75000,1,26.8,500000
2017,50000,1,17.6,1380000
2019,40000,1,17.3,1300000
2013,92500,1,22.32,530000
2012,158000,1,23.4,360000
2012,120000,1,19.3,310000
2015,50000,2,26,725000
2012,110000,1,19.3,340000
2017,2000,2,25.4,550000
2011,181000,2,11.5,1150000
2016,70000,1,27.28,380000
2013,90000,2,17.97,350000
2019,2000,1,18.6,610000
2015,20000,1,20.85,525000
2011,120000,1,12.8,480000
2017,35000,1,16.55,780000
2012,193000,1,19.3,320000
2014,80000,1,20.4,375000
2019,40000,1,19.02,300000
2015,70000,4,22.54,500000
2011,122358,1,12.05,404000
2015,75000,1,14.07,500000
2017,120000,1,27.28,350000
2015,40000,1,17.57,380000
2008,95200,3,13.2,114999
2014,33033,1,19.4,335000
2015,63063,1,18.9,465000
2012,60000,1,21.02,290000
2005,45000,2,19.7,110000
2011,80000,3,11.57,450000
2009,170000,2,13.6,400000
2007,207890,2,13.6,210000
2018,7976,1,17.9,4600000
2016,35000,1,16.8,220000
2017,35000,1,18.9,450000
2017,35000,1,18.9,450000
2013,50000,1,16.95,290000
2016,20000,1,20.4,520000
2011,20000,1,16.95,265000
2012,50000,2,18.6,330000
2012,50000,2,18.6,330000
2014,120000,1,15.96,509999
2014,70000,1,17.1,500000
2015,50000,1,17.19,525000
2019,16500,1,21.01,675000
2010,70000,1,17,300000
2005,99361,2,19.7,90000
2017,25000,1,26.59,650000
2014,70000,2,19.1,409000
2015,80000,2,24,395000
2014,70000,2,19.1,400000
2012,60000,3,18.6,120000
2018,10000,1,20.3,645000
2006,80000,1,16.1,81000
2017,30000,1,25.6,1300000
2017,33000,1,25.6,1250000
2013,90000,3,16.02,535000
2014,80100,2,19.01,555000
2014,120000,1,17.4,725000
2016,40000,1,25.17,229999
2013,160000,2,12.99,800000
2017,47000,1,20.51,409999
2018,25000,1,21.38,1210000
2017,26000,1,23.84,400000
2018,29000,1,24,520000
2016,50000,1,21.4,650000
2011,58000,3,16.1,325000
2012,120000,1,17.4,420000
2014,50000,1,20.4,400000
2010,80000,4,17,254999
2003,60000,4,17.3,65000
2017,36000,1,23.1,351000
2007,120000,3,12.8,404000
2011,185000,3,21.1,185000
2011,50000,1,23.08,250000
2002,100000,4,17.3,60000
2013,50000,2,17.1,500000
2007,80000,2,18.2,85000
2005,80000,4,19.7,85000
2011,90000,4,19.3,265000
2010,162000,2,19,130000
2013,110000,3,20.77,480000
2008,120000,3,17.8,170000
2011,45000,1,23.08,275000
2005,90000,2,18.9,89000
2010,90000,2,20,170000
2019,16500,1,17,1090000
2017,67000,1,17.01,1100000
2018,52000,1,22,610000
2016,40000,1,20.63,335000
2015,40000,1,18.9,434999
2018,35000,1,14.24,3000000
2018,13000,1,20.71,390000
2012,40000,1,18.5,325000
2019,10000,1,17,640000
2012,9000,1,16.95,450000
2013,70000,2,23.59,400000
2009,60000,1,20.36,215000
2014,40000,1,20.45,570000
2012,93000,1,15.1,680000
2008,80000,4,12.8,325000
2011,50000,2,15.64,150000
2013,68000,1,14.5,690000
2013,25000,1,14.84,1550000
2012,18000,1,25.4,64000
2013,120000,1,23.08,250000
2005,35000,1,18.9,65000
2016,60000,2,26.59,550000
2010,70000,4,20.36,140000
2016,30000,1,25.17,300000
2016,70000,1,16.34,800000
2017,9000,1,13.6,2625000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2015,110000,1,14.1,503000
2019,20000,1,18,3800000
2016,68089,1,19.16,2000000
2013,58343,1,21.79,225000
2018,38817,1,27.39,740000
2016,56494,1,18.2,550000
2013,79328,2,12.99,750000
2019,5621,1,22,650000
2017,25538,1,16.78,625000
2018,69779,1,22,600000
2017,56290,1,24,450000
2019,7500,1,16.78,5400000
2019,8500,1,16.78,5500000
2019,7032,1,19,779000
2016,11000,1,14.3,645000
2018,2000,1,16.8,2475000
2010,106000,3,20.36,150000
2009,120000,2,11.1,500000
2015,90000,1,26.59,480000
2014,70000,3,22.32,535000
2005,240000,3,12.8,250000
2012,100000,2,21.5,300000
2009,214000,2,13.9,340000
2009,214000,2,16.8,340000
2016,50000,1,22.74,240000
2018,1000,1,18,1085000
2017,19000,1,28.4,750000
2012,265000,2,17,95000
2020,35000,1,20.88,409999
2014,80000,2,23.95,215000
2016,50000,1,16,1290000
2010,80000,1,20.92,150000
2013,50000,2,21.1,219000
2018,100000,1,23.84,325000
2013,120000,2,15.1,260000
2017,9000,1,13.6,2625000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2015,110000,1,14.1,503000
2019,20000,1,18,3800000
2016,68089,1,19.16,2000000
2013,58343,1,21.79,225000
2018,38817,1,27.39,740000
2016,56494,1,18.2,550000
2013,79328,2,12.99,750000
2019,5621,1,22,650000
2017,25538,1,16.78,625000
2018,69779,1,22,600000
2017,56290,1,24,450000
2019,7500,1,16.78,5400000
2019,8500,1,16.78,5500000
2019,7032,1,19,779000
2016,11000,1,14.3,645000
2018,2000,1,16.8,2475000
2019,40000,1,23.8,700000
2017,45000,1,21.38,950000
2010,80000,2,19.7,160000
2015,135000,2,24.4,409999
2015,120000,2,12.99,840000
2013,67000,1,23.59,450000
2017,50000,1,28.4,900000
2008,134000,2,12.8,570000
2011,110000,2,23.08,254999
2009,40000,1,16.1,130000
2013,120000,2,23.4,530000
2015,110000,2,20.14,520000
2011,170000,2,21,229999
2004,80000,2,16.1,81000
2016,47000,1,25.2,600000
2015,93000,1,19.1,409999
2010,70000,2,16.1,120000
2014,50000,1,23.1,320000
2015,70000,1,20,292000
2012,80000,1,13.93,390000
2016,44000,1,18.16,550000
2014,25000,1,23.1,385000
2016,25000,1,15.29,800000
2019,10000,1,21.21,675000
2018,50000,1,17.6,1525000
2018,30000,1,23,950000
2015,50000,2,21.19,610000
2012,120000,1,22.54,525000
2019,40000,1,23.8,700000
2015,80000,1,15.96,375000
2015,90000,1,20.45,580000
2015,50000,2,20.4,434999
2020,2136,1,22.5,350000
2012,250000,1,12.99,730000
2015,35000,1,18.6,600000
2015,120000,1,12.99,1050000
2017,70000,1,27.39,735000
2018,18000,1,19.6,1050000
2016,110000,2,18.2,420000
2017,60000,1,23.65,800000
2015,60000,1,12.55,2000000
2016,147000,2,26.59,600000
2015,130000,1,12.55,1900000
2011,99500,3,11.5,500000
2011,110000,2,17,200000
2016,35000,1,19.49,370000
2010,110000,2,16.2,260000
2016,100000,1,25.32,280000
2014,21000,1,16.02,610000
2013,60000,2,23.5,300000
2010,40000,1,16.6,140000
2008,50000,1,19.81,229999
2010,65000,2,19,200000
2011,80000,1,18.9,200000
2015,119000,1,23.9,560000
2016,80000,1,24.52,750000
2017,90000,1,25.2,585000
2016,20000,1,17.01,760000
2014,80000,2,25.2,430000
2020,44665,1,25.32,480000
2019,10000,1,20.8,643000
2018,60000,1,20.14,500000
2016,22000,1,18.5,425000
2014,25000,1,22.74,250000
2016,70000,1,27.62,285000
2008,123000,3,17.5,160000
2011,70000,2,20.54,250000
2013,70000,2,18.6,170000
2013,45000,1,23.59,409999
2015,40000,1,18.9,400000
2019,30000,1,28.4,700000
2007,90000,1,12.9,350000
2016,34000,2,17.5,660000
2017,25000,1,24.7,268000
2016,50000,1,22.74,270000
2013,50000,1,25.44,300000
2017,90000,1,23.84,450000
2012,70000,2,25.44,220000
2009,146000,2,13.93,250000
2012,85000,2,15.6,300000
2009,201850,2,17.88,88000
2016,30000,1,26.59,561000
2018,15000,1,28.4,755000
2017,25000,1,22.7,235000
2011,90000,1,20.92,165000
2008,80000,2,19.3,190000
2011,50000,1,17.2,110000
2012,80000,2,13.6,320000
2016,38000,1,18.6,540000
2013,60000,1,21.1,180000
2016,100000,3,15.37,270000
2012,30000,1,17.5,450000
2014,30000,1,19.1,450000
2015,50000,1,18.6,200000
2017,42000,1,23.84,425000
2016,30000,1,18.2,400000
2009,60000,3,19.7,125000
2018,14000,1,17.1,1600000
2015,22000,1,17.4,900000
2012,90000,1,20.54,450000
2011,46000,1,20.92,210000
2018,20000,1,18.6,801000
2014,15000,1,15.42,317000
2015,40000,2,16.02,600000
2014,30000,2,18.5,330000
2017,15000,2,21.1,320000
2007,110000,2,15.3,120000
2009,70000,2,19.7,130000
2015,80000,1,18.2,220000
2015,110000,1,17.57,340000
2013,70000,2,19.68,200000
2002,50000,2,19.7,140000
2013,190000,1,12.99,1000000
2010,100000,2,13.6,495000
2015,60000,1,22.74,236000
2015,40000,1,20.51,390000
2009,90000,2,19.3,275000
2015,110000,1,14.1,503000
2017,32000,1,24.3,775000
2016,30000,1,11.36,1800000
2016,58000,1,19.67,850000
2018,5000,1,24.3,750000
2018,25000,1,18.6,570000
2018,32000,1,18.9,580000
2016,30000,1,18.7,484999
2017,43000,1,15.4,700000
2012,60000,1,17.7,415000
2015,50000,1,19.34,325000
2018,14200,1,18.16,550000
2017,10000,1,21.1,300000
2018,25000,1,22.7,217000
2018,19100,1,19,700000
2019,25000,4,20.3,466000
2014,54000,1,23,484999
2018,35000,1,22.71,670000
2018,20000,2,18.9,500000
2016,52000,1,23.65,675000
2011,120000,2,23,220000
2017,50000,1,17.1,1650000
2013,120000,2,20.77,630000
2010,90000,2,18.8,250000
2004,120000,3,18.9,120000
2015,101500,2,21.14,300000
2013,75000,1,22.32,525000
2016,100000,1,15.4,1100000
2012,55735,2,19.01,480000
2014,80000,2,15.1,605000
2016,50000,2,24.7,250000
2013,70000,2,20,245000
2012,76000,4,20.36,210000
2020,1500,1,21.21,730000
2012,76000,1,15.96,500000
2015,40000,1,20.51,400000
2015,60000,2,21.1,280000
2009,170000,3,12.8,561000
2013,181491,1,13.5,950000
2016,53319,1,25.44,375000
2017,40906,1,21.66,700000
2012,31711,2,17.6,375000
2012,43755,2,21.1,270000
2016,66693,1,25.17,300000
2010,59549,1,19,225000
2015,94385,1,12.99,1350000
2010,73730,1,18.2,200000
2011,221889,1,22.32,400000
2013,116104,1,25.8,500000
2015,150546,1,22,500000
2013,148120,1,14.24,1500000
2015,20000,2,15.8,555000
2018,30000,1,18.9,580000
2011,142000,3,13.7,337000
2011,20000,1,12.2,175000
2009,120000,2,18.8,180000
2011,80000,1,19.81,200000
2016,60000,1,19.09,260000
2016,25000,1,23.01,350000
2011,50000,2,13.6,409999
2017,126000,1,18.49,655000
2015,170000,1,26.59,370000
2013,24000,1,22.74,200000
2017,100000,2,24.52,800000
2019,10000,1,24,550000
2012,70000,2,20,300000
2017,40000,1,16.8,220000
2011,110000,1,18.9,196000
2008,80000,2,19.81,135000
2015,16500,1,17.57,299000
2017,30000,1,23.95,300000
2017,80000,1,24.52,720000
2016,50000,3,14.1,650000
2016,25000,1,23.95,300000
2019,20000,1,24,750000
2016,60000,1,25.17,260000
2011,70000,2,22.9,300000
2014,50000,2,15.96,600000
2004,100000,2,9,275000
2015,52000,1,23.95,250000
2014,80000,1,23.4,420000
2015,50000,1,21.1,235000
2016,60000,1,15.4,1100000
2019,25000,1,23.95,360000
2014,50000,2,24,380000
2016,125000,1,22.77,650000
2016,80000,1,20.51,350000
2017,70000,1,15.96,700000
2010,90000,3,23,270000
2017,50000,1,22.95,450000
2016,101000,1,16.55,630000
2010,168000,1,14,229999
2010,168000,1,14,229999
2011,40000,1,18.9,270000
2009,28900,2,0,135000
2012,20000,1,18.9,275000
2017,9000,1,13.6,2625000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2015,110000,1,14.1,503000
2019,20000,1,18,3800000
2016,68089,1,19.16,2000000
2013,58343,1,21.79,225000
2018,38817,1,27.39,740000
2016,56494,1,18.2,550000
2013,79328,2,12.99,750000
2019,5621,1,22,650000
2017,25538,1,16.78,625000
2018,69779,1,22,600000
2017,56290,1,24,450000
2019,7500,1,16.78,5400000
2019,8500,1,16.78,5500000
2019,7032,1,19,779000
2016,11000,1,14.3,645000
2018,2000,1,16.8,2475000
2015,165000,1,18.49,634000
2012,98500,2,19,235000
2008,98000,3,20.36,275000
2014,40000,2,16.55,700000
2013,90000,1,20.3,400000
2012,90000,3,19.7,215000
2009,110000,2,17.1,150000
2018,77800,1,25.1,950000
2015,100000,1,18.49,730000
2012,120000,2,19,135000
2016,80000,2,19.1,350000
2018,21000,2,18.15,535000
2018,100000,2,19,455000
2019,25000,1,21.21,655000
2019,30000,3,23,800000
2018,25000,1,17.8,1100000
2016,40000,1,13,3000000
2012,160000,1,11.5,1225000
2018,51492,1,18.15,340000
2011,72000,2,20.54,300000
2016,60000,1,18.16,370000
2013,136000,2,15.96,330000
2014,60000,1,17.92,238000
2013,90000,1,17.92,200000
2014,91000,4,22.71,320000
2009,90000,4,17.92,114999
2015,50000,2,20.51,320000
2010,20000,1,19.81,210000
2011,120000,1,14,200000
2009,150000,2,18.9,135000
2015,52000,1,19.09,350000
2014,167000,2,13.6,350000
2017,40000,1,28.4,680000
2010,190000,2,17.8,200000
2016,50000,1,23.01,300000
2011,70000,2,14,270000
2012,80000,2,18.9,225000
2008,120000,1,13.6,250000
2015,40000,2,18.49,590000
2015,17000,1,21.1,290000
2010,180000,2,19,100000
2016,50000,1,23.1,395000
2014,65000,2,21.1,195000
2011,10000,3,26,45000
2009,70000,2,13.6,270000
2014,90000,2,13.58,600000
2015,50000,1,22.54,715000
2019,10000,1,18.6,600000
2019,25000,1,18.49,875000
2011,100000,2,13.5,420000
2007,70000,2,10.1,325000
2017,30000,1,20.63,385000
2016,40000,1,18.15,300000
2012,135000,1,21.9,335000
2014,35000,1,23.1,300000
2004,120000,2,13.2,80000
2012,120000,1,15.96,400000
2012,190000,2,19.09,168000
2016,120000,1,15.96,550000
2011,175000,3,13.6,320000
2011,175000,3,15.96,320000
2011,25000,2,16.95,350000
2013,80000,1,21.02,280000
2017,70000,2,24.4,550000
2018,10000,1,20.14,500000
2019,6000,1,19,700000
2013,90000,2,20.5,380000
2012,110000,2,15.96,340000
2007,120000,3,13.6,160000
2014,50000,1,12.99,750000
2018,20000,1,18.9,531000
2017,35000,1,23.01,300000
2014,60000,2,20.14,350000
2010,68000,4,18.6,150000
2015,30000,1,20.4,450000
2017,54000,1,16,1625000
2006,120000,3,16.8,85000
2018,30000,1,18.9,450000
2017,50000,1,27.28,360000
2020,6000,1,23.95,390000
2011,50000,2,15.37,145000
2012,90000,3,12.05,540000
2008,126000,3,12.8,290000
2013,90000,1,25,300000
2017,80000,1,18.16,565000
2011,70000,2,10.5,441000
2011,80000,2,21.1,180000
2013,80000,2,21.1,200000
2005,150000,2,19.7,85000
2006,110000,4,17.88,67500
2016,110000,2,24.3,700000
2010,80000,4,22.07,275000
2019,20000,1,18.9,600000
2011,120000,1,13,250000
2016,120000,1,15.96,600000
2010,80000,2,20.4,200000
2015,91500,2,24,425000
2012,120000,2,19.3,420000
2012,100000,2,23,321000
2012,120000,4,14,350000
2017,80000,1,17.8,490000
2015,90000,1,15.4,680000
2016,70000,1,23.95,298000
2011,150000,4,13.5,450000
2012,40000,1,22.3,250000
2013,110000,3,12.8,1075000
2017,20000,1,18.9,500000
2019,10000,1,19,681000
2014,90000,2,15.1,650000
2008,70000,2,15.26,80000
2009,120000,1,13.6,290000
2006,120000,2,10.5,220000
2009,90000,2,0,120000
2017,80000,1,22.7,229999
2003,132478,2,13.6,150000
2014,45000,1,19.1,500000
2013,120000,1,19.09,175000
2019,10000,1,19,720000
2012,51000,1,16.1,100000
2009,105000,2,12.9,250000
2014,100000,1,15.1,810000
2010,30000,3,19.7,165000
2016,60000,2,12.2,409999
2013,86000,2,22.9,430000
2015,15000,1,20.62,300000
2011,137500,3,19.3,350000
2018,60000,1,23.01,400000
2016,70000,1,18.2,420000
2015,5000,1,20.51,430000
2017,30000,1,20.4,573000
2015,40000,1,21.1,210000
2015,60000,1,19.01,600000
2008,70000,3,17.7,150000
2019,15000,1,20.3,550000
2011,110000,2,19.3,320000
2000,70000,4,16.1,80000
2019,10000,1,27.4,800000
2013,60000,1,16.02,500000
2011,110000,2,18.8,229999
2013,60000,1,16.02,500000
2015,35000,1,18.6,630000
2016,70000,2,16.8,190000
2011,110000,2,18.8,229999
2011,100000,2,13.6,450000
2008,120000,1,19.7,95000
2009,90000,4,19.7,101000
2016,70000,2,25.8,500000
2014,88000,2,12.99,1019999
2012,38000,1,21.1,244000
2013,90000,2,20.51,250000
2016,60000,1,21.4,660000
2010,60000,1,18.5,270000
2012,156060,1,23.2,280000
2017,60000,1,19.67,1050000
2017,70000,1,20.85,525000
2017,35000,1,23.9,850000
2016,50000,1,16,1165000
2012,50000,2,18.6,345000
2007,100000,2,17.8,95000
2015,15000,1,22.74,241000
2015,20000,1,22.74,235000
2015,80000,1,22.77,615000
2014,110000,2,20.8,350000
2014,35000,1,20.51,350000
2014,35000,1,20.51,380000
2017,140000,1,14.07,400000
2010,40000,1,19,220000
2008,110000,3,14.4,270000
2012,70000,2,18.5,275000
2009,100000,2,17,125000
2015,20000,1,19.81,360000
2019,15000,1,18.9,550000
2011,70000,2,16.6,200000
2016,20000,1,18.15,327000
2016,15000,1,19.81,425000
2017,107000,1,28.4,620000
2011,54000,2,18.4,130000
2009,58000,1,19.7,120000
2011,110000,2,12.05,400000
2007,90000,4,16.8,185000
2015,43000,2,20.3,204999
2017,43000,1,28.4,625000
2013,60000,1,20.77,600000
2011,150000,1,12.8,150000
2017,35000,1,23.01,300000
2013,46000,1,18.2,229999
2018,10000,1,16.8,220000
2016,35000,1,18.6,576000
2016,50000,1,25.17,265000
2011,80000,1,22.32,300000
2017,110000,1,24.7,420000
2015,14000,1,20.77,750000
2012,60000,2,30.46,165000
2017,28000,1,25.17,290000
2011,57000,1,21.1,160000
2017,50000,1,26.59,695000
2012,70000,1,26.2,231000
2015,60000,1,21.43,1050000
2013,70000,1,18.5,400000
2016,40000,1,18.6,500000
2010,120000,2,21.12,150000
2016,140000,2,14.02,400000
2010,100000,2,17,120000
2014,120000,2,14.02,480000
2013,120000,2,19.09,200000
2012,64000,2,17.8,300000
2015,25000,1,23.1,350000
2019,12000,1,20,580000
2012,70000,2,25.44,200000
2016,120000,1,11,750000
2016,90000,1,25.17,261000
2015,40000,1,18.2,371000
2010,300000,3,13.6,320000
2012,120000,2,19.09,204999
2003,90000,2,13.2,110000
2009,100000,4,17.7,150000
2016,90000,2,15.96,625000
2017,50000,2,15.4,1300000
2015,168000,1,20.6,900000
2010,110000,2,20,180000
2010,120000,2,13.6,421000
2012,120000,2,19.09,204999
2017,40000,1,25.5,900000
2006,110000,2,17.7,165000
2010,100000,4,21.9,270000
2017,40000,1,24.3,750000
2019,30000,1,18.6,750000
2002,80000,3,16.1,40000
2011,90000,2,20,190000
2009,200000,3,12.8,395000
2010,125000,2,11.5,800000
2011,80000,1,17,315000
2014,44000,2,16.55,1600000
2013,90000,1,23.59,409999
2018,32000,1,18.9,580000
2013,70000,1,18.5,340000
2015,43000,1,21.1,270000
2017,80000,1,22.95,280000
2012,60000,1,22.3,130000
2014,18945,1,21.1,260000
2018,70000,1,24,710000
2013,100000,3,15.1,204999
2017,60000,1,20.62,300000
2009,144000,2,19.3,180000
2016,120000,1,18.49,700000
2012,107825,2,21.9,320000
2020,15000,1,22.05,370000
2018,10000,1,25.17,340000
2019,1620,1,19.01,1040000
2018,30000,1,21.19,750000
2018,70000,1,18.49,600000
2016,70000,1,15.96,550000
2013,95000,2,12.99,600000
2017,50000,1,24.7,550000
2015,160000,1,25.1,750000
2019,10000,1,20.3,450000
2012,100000,3,20.77,400000
2016,50000,2,25.2,520000
2013,60000,2,20.2,199000
2012,110000,1,25.44,150000
2016,80000,3,21.19,540000
2011,85000,2,21.5,250000
2010,90000,2,18.9,200000
2011,90000,2,25,130000
2007,90000,1,16.1,90000
2012,120000,2,22.32,450000
2009,120000,1,18.1,280000
2007,160000,2,13.93,280000
2006,141000,2,17.3,120000
2008,100000,2,17.8,290000
2019,15000,1,22.1,1000000
2012,108000,1,19.3,415000
2012,108000,1,23.4,415000
2015,55000,1,25.44,240000
2010,37944,1,18.4,250000
2011,90400,1,20,175000
2008,85000,2,16.8,220000
2003,120000,3,20.8,85000
2019,5000,1,21.21,675000
2016,50000,1,19.87,535000
2019,5000,1,20,675000
2016,90000,1,24.3,800000
2012,96000,2,20.77,425000
2011,80000,3,15.37,150000
2007,60000,2,18.2,90000
2015,90000,1,15.1,850000
2008,193623,2,12.8,330000
2017,63186,1,22.54,850000
2008,219000,2,13.6,305000
2013,110000,2,12.99,910000
2012,151000,1,12.8,1100000
